pupID #unique identifer for each mouse,litter #unique litter,sex,outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,vhr.post.challenge #hours post challenge at observation time,score #score at time of observation,time #day and time of first observation,weight #weight at  observation,v1.ch.weight # absolute weight change from challenge to v1,.pch.weight #percent weight change from challenge to current observation
2015.11.30_G4_M2 (M)_Sauton_new.0.95,23,M,live,2015.12.07 17:55,3.75,15.16666667,8,2015.12.08 9:05,3.95,-0.2,-5.333333333
2015.11.30_G5_M2 (F)_Sauton_new.0.95,24,F,live,2015.12.07 18:20,4.65,15.08333333,4,2015.12.08 9:25,4.57,0.08,1.720430108
2015.11.30_G6_M4 (M)_Sauton_new.0.95,25,M,die,2015.12.07 18:45,4.11,15.08333333,4,2015.12.08 9:50,4.08,0.03,0.729927007
2015.11.30_G6_M5 (F)_Sauton_new.0.95,25,F,die,2015.12.07 18:45,3.79,15.08333333,2,2015.12.08 9:50,3.73,0.06,1.583113456
7.31.2015_F1_M7 (M)_saline_old.0.8,1,M,live,,,19.16666667,6,,,,
7.31.2015_F1_M8 (F)_saline_old.0.8,1,F,live,,,19.16666667,8,,,,
7.31.2015_F1_M9 (F)_saline_old.0.8,1,F,live,,,19.16666667,6,,,,
7.31.2015_G2.F2_M1 (M)_saline_old.1.1,2,M,die,,,19,6,,,,
7.31.2015_G2.F2_M2 (M)_saline_old.1.1,2,M,die,,,19,0,,,,
7.31.2015_G2.F2_M4 (M)_saline_old.0.8,2,M,die,,,19,3,,,,
7.31.2015_G2.F2_M5 (M)_saline_old.0.8,2,M,die,,,19,8,,,,
7.31.2015_G2.F2_M6 (F)_saline_old.0.8,2,F,die,,,19,6,,,,
2015.08.07_F10_M2 (M)_saline.vacc_old.0.95,3,M,die,2015.08.15 20:40,4.31,16.25,2,2015.08.16 12:55,,,
2015.08.07_F10_M3 (M)_saline.vacc_old.0.95,3,M,die,2015.08.15 20:40,4.8,16.25,4,2015.08.16 12:55,,,
2015.08.07_F10_M4 (F)_saline.vacc_old.0.95,3,F,die,2015.08.15 20:40,5.01,16.25,8,2015.08.16 12:55,,,
2015.08.07_F10_M5 (M)_saline.vacc_old.0.8,3,M,live,2015.08.15 20:40,4.98,16.25,6,2015.08.16 12:55,,,
2015.08.07_F10_M6 (M)_saline.vacc_old.0.8,3,M,die,2015.08.15 20:40,3.93,16.25,6,2015.08.16 12:55,,,
2015.08.07_F10_M7 (M)_saline.vacc_old.0.8,3,M,live,2015.08.15 20:40,4.28,16.25,6,2015.08.16 12:55,,,
2015.08.07_F10_M8 (F)_saline.vacc_old.0.8,3,F,die,2015.08.15 20:40,4.38,16.25,6,2015.08.16 12:55,,,
2015.08.07_F6_M1 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.2,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M2 (M)_saline.vacc_old.0.95,4,M,live,2015.08.15 19:55,4.29,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M3 (F)_saline.vacc_old.0.95,4,F,live,2015.08.15 19:55,4.9,16.58333333,3,2015.08.16 12:30,,,
2015.08.07_F6_M4 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,4.81,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M5 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,5.15,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M6 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.99,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M7 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.89,16.58333333,8,2015.08.16 12:30,,,
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,live,2015.08.15 20:22,5.6,16.38333333,4,2015.08.16 12:45,,,
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,die,2015.08.15 20:22,5.58,16.38333333,6,2015.08.16 12:45,,,
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,die,2015.08.15 20:22,5.19,16.38333333,6,2015.08.16 12:45,,,
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,live,2015.08.15 20:22,5.53,16.38333333,6,2015.08.16 12:45,,,
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,4.83,16.38333333,4,2015.08.16 12:45,,,
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,5.46,16.38333333,3,2015.08.16 12:45,,,
2015.08.20_G1_M2 (M)_saline.vacc_old.0.95,6,M,die,2015.08.28 18:25,4.76,18.08333333,3,2015.08.29 12:30,,,
2015.08.20_G1_M3 (M)_saline.vacc_old.0.95,6,M,die,2015.08.28 18:25,4.54,18.08333333,6,2015.08.29 12:30,,,
